Accession,Species,Genus,Family,Length,Host,GenBank_Title
MH552573,Microviridae sp.,,Microviridae,4506,,"Microviridae sp. isolate ctda38, complete genome"
MH552576,Microviridae sp.,,Microviridae,6406,,"Microviridae sp. isolate ctci495, complete genome"
MH560358,Escherichia virus KFS-EC,Krischvirus,Myoviridae,164715,Escherichia coli O157:H7,"Escherichia virus KFS-EC, complete genome"
MH593831,Podoviridae sp. ctdb7,,Podoviridae,42196,,"Podoviridae sp. isolate ctdb7, complete genome"
MH593832,Bacteriophage sp.,,,40520,,"Phage sp. isolate ctcj9, complete genome"
MH593833,Siphoviridae sp.,,Siphoviridae,45118,,"Siphoviridae sp. isolate ctbb6, complete genome"
MH593834,Siphoviridae sp.,,Siphoviridae,103355,,"Siphoviridae sp. isolate ctbe1, complete genome"
MH593835,Microviridae sp.,,Microviridae,5224,,"Microviridae sp. isolate ctbf9, complete genome"
MH593836,Inoviridae sp.,,Inoviridae,5166,,"Inoviridae sp. isolate ctbh10, complete genome"
MH593837,Microviridae sp.,,Microviridae,5210,,"Microviridae sp. isolate ctdc25, complete genome"
MH015257,Ruegeria phage vB_RpoP-V14,Baltimorevirus,Podoviridae,74792,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoP-V14, complete genome"
MH252365,Ralstonia phage phiRSP,Jilinvirus,Myoviridae,44526,Ralstonia solanacearum,"Ralstonia phage phiRSP, complete genome"
MH321490,Staphylococcus phage Quidividi,Sepunavirus,Herelleviridae,141446,Staphylococcus epidermidis,"Staphylococcus phage Quidividi, complete genome"
MH321491,Staphylococcus phage Twillingate,Sepunavirus,Herelleviridae,142592,Staphylococcus epidermidis,"Staphylococcus phage Twillingate, complete genome"
MH384259,Staphylococcus phage SA1014ruMSSAST7,Biseptimavirus,Siphoviridae,43504,Staphylococcus aureus,"Staphylococcus phage SA1014ruMSSAST7, complete genome"
MH384261,Staphylococcus phage SA137ruMSSAST121PVL,Triavirus,Siphoviridae,45999,Staphylococcus aureus,"Staphylococcus phage SA137ruMSSAST121PVL, complete genome"
MH400309,Escherichia virus Vec13,Teseptimavirus,Podoviridae,39747,Escherichia coli,"Escherichia virus Vec13, complete genome"
MH401414,Staphylococcus phage SA45ruMSSAST97,Biseptimavirus,Siphoviridae,43454,Staphylococcus aureus,"Staphylococcus aureus phage SA45ruMSSAST97, complete genome"
MH401415,Staphylococcus phage SA537ruMSSAST97,Biseptimavirus,Siphoviridae,43458,Staphylococcus aureus,"Staphylococcus aureus phage SA537ruMSSAST97, complete genome"
MH401416,Staphylococcus phage SA345ruMSSAST8,Biseptimavirus,Siphoviridae,42735,Staphylococcus aureus,"Staphylococcus aureus phage SA345ruMSSAST8, complete genome"
MH431930,Paenibacillus phage Wanderer,Vegasvirus,Siphoviridae,40448,Paenibacillus larvae,"Paenibacillus phage Wanderer, complete genome"
MH431931,Paenibacillus phage Yerffej,Sitaravirus,Siphoviridae,43126,Paenibacillus larvae,"Paenibacillus phage Yerffej, complete genome"
MH431934,Paenibacillus phage Gryphonian,Sitaravirus,Siphoviridae,38541,Paenibacillus larvae,"Paenibacillus phage Gryphonian, complete genome"
MH431935,Paenibacillus phage Honeybear,Sitaravirus,Siphoviridae,40054,Paenibacillus larvae,"Paenibacillus phage Honeybear, complete genome"
MH431936,Paenibacillus phage Kawika,Sitaravirus,Siphoviridae,40769,Paenibacillus larvae,"Paenibacillus phage Kawika, complete genome"
MH431937,Paenibacillus phage Lucielle,Sitaravirus,Siphoviridae,37947,Paenibacillus larvae,"Paenibacillus phage Lucielle, complete genome"
MH431938,Paenibacillus phage C7Cdelta,Trippvirus,Siphoviridae,55774,Paenibacillus larvae,"Paenibacillus phage C7Cdelta, complete genome"
MH444512,Bifidobacterium phage PMBT6,,Siphoviridae,36607,Bifidobacterium thermophilum,"Bifidobacterium phage PMBT6, complete genome"
MH445453,Klebsiella phage NJS1,Webervirus,Siphoviridae,49292,Klebsiella pneumoniae,"Klebsiella phage NJS1, complete genome"
MH454076,Paenibacillus phage Ash,Trippvirus,Siphoviridae,56468,Paenibacillus larvae,"Paenibacillus phage Ash, complete genome"
MH454077,Paenibacillus phage Bloom,Sitaravirus,Siphoviridae,38519,Paenibacillus larvae,"Paenibacillus phage Bloom, complete genome"
MH454078,Paenibacillus phage Eltigre,Sitaravirus,Siphoviridae,38675,Paenibacillus larvae,"Paenibacillus phage Eltigre, complete genome"
MH454079,Paenibacillus phage Jacopo,Sitaravirus,Siphoviridae,38526,Paenibacillus larvae,"Paenibacillus phage Jacopo, complete genome"
MH454080,Paenibacillus phage Ley,Trippvirus,Siphoviridae,56465,Paenibacillus larvae,"Paenibacillus phage Ley, complete genome"
MH454081,Paenibacillus phage LincolnB,Vegasvirus,Siphoviridae,40437,Paenibacillus larvae,"Paenibacillus phage LincolnB, complete genome"
MH454082,Paenibacillus phage Genki,Sitaravirus,Siphoviridae,38540,Paenibacillus larvae,"Paenibacillus phage Genki, complete genome"
MH454083,Paenibacillus phage Saudage,Sitaravirus,Siphoviridae,37962,Paenibacillus larvae,"Paenibacillus phage Saudage, complete genome"
MH454084,Paenibacillus phage Toothless,Sitaravirus,Siphoviridae,38832,Paenibacillus larvae,"Paenibacillus phage Toothless, complete genome"
MH460824,Paenibacillus phage Unity,Trippvirus,Siphoviridae,50316,Paenibacillus larvae,"Paenibacillus phage Unity, complete genome"
MH460825,Paenibacillus phage Scottie,Trippvirus,Siphoviridae,55990,Paenibacillus larvae,"Paenibacillus phage Scottie, complete genome"
MH460826,Paenibacillus phage Heath,Trippvirus,Siphoviridae,55560,Paenibacillus larvae,"Paenibacillus phage Heath, complete genome"
MH460827,Paenibacillus phage Halcyone,Trippvirus,Siphoviridae,55560,Paenibacillus larvae,"Paenibacillus phage Halcyone, complete genome"
MH460829,Acinetobacter phage vB_ApiM_fHyAci03,,Myoviridae,165975,Acinetobacter pittii,"Acinetobacter phage vB_ApiM_fHyAci03, complete genome"
MH464253,Shigella phage SFPH2,Teseptimavirus,Podoviridae,40387,Shigella flexneri,"Shigella phage SFPH2, complete genome"
MH512890,Cyanophage S-TIM4,,Myoviridae,176495,Synechococcus sp. WH 8102,Cyanophage S-TIM4
MH517022,Acinetobacter phage SH-Ab 15599,,Ackermannviridae,143204,Acinetobacter baumannii,"Acinetobacter phage SH-Ab 15599, complete genome"
MH536736,Pseudomonas phage E79,Pbunavirus,Myoviridae,66061,Pseudomonas aeruginosa PAO1,"Pseudomonas phage E79, complete genome"
MH538193,Bacillus phage Saddex,Wphvirus,Herelleviridae,142353,Bacillus thuringiensis serovar kurstaki,"Bacillus phage Saddex, complete genome"
MH538296,Bacillus phage Maceta,Bastillevirus,Herelleviridae,45023,Bacillus thuringiensis serovar kurstaki,"Bacillus phage Maceta, complete genome"
MH540083,Synechococcus T7-like virus S-TIP37,,Podoviridae,45477,Synechococcus sp. WH 8109,"Synechococcus T7-like virus S-TIP37, complete genome"
MH553563,Enterobacteria phage RB18,Tequatrovirus,Myoviridae,166677,Escherichia coli,"Enterobacteria phage RB18, complete genome"
CP013974,Erwinia phage LS-2018a,,Myoviridae,59759,Erwinia tracheiphila,"Erwinia phage LS-2018a, complete sequence"
MH587638,Klebsiella phage vB_KpnP_IME321,Przondovirus,Podoviridae,39906,Klebsiella pneumoniae,"Klebsiella phage vB_KpnP_IME321, complete genome"
MH178096,Aeromonas phage AsXd-1,,Siphoviridae,39014,Aeromonas salmonicida,"Aeromonas phage AsXd-1, complete genome"
MH321492,Staphylococcus phage Lorac,Phietavirus,Siphoviridae,43147,Staphylococcus aureus,"Staphylococcus phage Lorac, complete genome"
MH321493,Salmonella phage Skate,,Siphoviridae,47393,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella phage Skate, complete genome"
MH338234,Mycobacterium phage Crucio,Fromanvirus,Siphoviridae,53256,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Crucio, complete genome"
MH338235,Mycobacterium phage Dublin,Fromanvirus,Siphoviridae,50280,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Dublin, complete genome"
MH338236,Mycobacterium phage Ebony,Fromanvirus,Siphoviridae,52152,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Ebony, complete genome"
MH338237,Mycobacterium phage Joselito,Fromanvirus,Siphoviridae,52347,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Joselito, complete genome"
MH338238,Mycobacterium phage Michley,Fromanvirus,Siphoviridae,51527,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Michley, complete genome"
MH338239,Mycobacterium phage Mryolo,Fromanvirus,Siphoviridae,50505,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Mryolo, complete genome"
MH338240,Mycobacterium phage Sabia,Fromanvirus,Siphoviridae,50855,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Sabia, complete genome"
MH338241,Mycobacterium phage Tarynearal,Fromanvirus,Siphoviridae,51143,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Tarynearal, complete genome"
MH355583,Enterococcus phage vB_EfaS_LM99,Efquatrovirus,Siphoviridae,40203,Enterococcus faecalis,"Enterococcus phage vB_EfaS_LM99, complete genome"
MH355584,Escherichia phage vB_EcoM_JB75,Tequatrovirus,Myoviridae,167208,Escherichia coli,"Escherichia phage vB_EcoM_JB75, complete genome"
MH362766,Escherichia phage Halfdan,Lokivirus,Siphoviridae,42858,Escherichia coli,"Escherichia phage Halfdan, complete genome"
MH370358,Salmonella phage S100,Jerseyvirus,Siphoviridae,43468,Salmonella enterica,"Salmonella phage S100, complete genome"
MH370359,Salmonella phage S101,Jerseyvirus,Siphoviridae,42621,Salmonella enterica,"Salmonella phage S101, complete genome"
MH370360,Salmonella phage S102,Jerseyvirus,Siphoviridae,42439,Salmonella enterica,"Salmonella phage S102, complete genome"
MH370361,Salmonella phage S103,Jerseyvirus,Siphoviridae,42441,Salmonella enterica,"Salmonella phage S103, complete genome"
MH370362,Salmonella phage S104,Jerseyvirus,Siphoviridae,43118,Salmonella enterica,"Salmonella phage S104, complete genome"
MH370363,Salmonella phage S106,Jerseyvirus,Siphoviridae,42976,Salmonella enterica,"Salmonella phage S106, complete genome"
MH370364,Salmonella phage S107,,Siphoviridae,49818,Salmonella enterica subsp. enterica,"Salmonella phage S107, complete genome"
MH370365,Salmonella phage S111,Jerseyvirus,Siphoviridae,43421,Salmonella enterica,"Salmonella phage S111, complete genome"
MH370366,Salmonella phage S113,Tequintavirus,Siphoviridae,112582,Salmonella enterica,"Salmonella phage S113, complete genome"
MH370367,Salmonella phage S114,Tequintavirus,Siphoviridae,110926,Salmonella enterica subsp. enterica,"Salmonella phage S114, complete genome"
MH370368,Salmonella phage S115,Kuttervirus,Ackermannviridae,157946,Salmonella enterica,"Salmonella phage S115, complete genome"
MH370369,Salmonella phage S116,Tequintavirus,Siphoviridae,110664,Salmonella enterica,"Salmonella phage S116, complete genome"
MH370370,Salmonella phage S117,Kuttervirus,Ackermannviridae,158110,Salmonella enterica,"Salmonella phage S117, complete genome"
MH370371,Salmonella phage S118,Kuttervirus,Ackermannviridae,157013,Salmonella enterica,"Salmonella phage S118, complete genome"
MH370372,Salmonella phage S119,Jerseyvirus,Siphoviridae,43876,Salmonella enterica,"Salmonella phage S119, complete genome"
MH370373,Salmonella phage S120,Jerseyvirus,Siphoviridae,43467,Salmonella enterica,"Salmonella phage S120, complete genome"
MH370374,Salmonella phage S123,Jerseyvirus,Siphoviridae,43467,Salmonella enterica,"Salmonella phage S123, complete genome"
MH370375,Salmonella phage S124,Tequintavirus,Siphoviridae,112564,Salmonella enterica,"Salmonella phage S124, complete genome"
MH370376,Salmonella phage S126,Tequintavirus,Siphoviridae,111999,Salmonella enterica,"Salmonella phage S126, complete genome"
MH370378,Salmonella phage S131,Tequintavirus,Siphoviridae,110091,Salmonella enterica,"Salmonella phage S131, complete genome"
MH370379,Salmonella phage S132,Tequintavirus,Siphoviridae,116832,Salmonella enterica subsp. enterica,"Salmonella phage S132, complete genome"
MH370380,Salmonella phage S133,Tequintavirus,Siphoviridae,110926,Salmonella enterica subsp. enterica,"Salmonella phage S133, complete genome"
MH370381,Salmonella phage S134,Jerseyvirus,Siphoviridae,43118,Salmonella enterica,"Salmonella phage S134, complete genome"
MH370382,Salmonella phage S135,,Siphoviridae,50591,Salmonella enterica,"Salmonella phage S135, complete genome"
MH370383,Salmonella phage S137,,Siphoviridae,50593,Salmonella enterica,"Salmonella phage S137, complete genome"
MH370384,Salmonella phage S138,Jerseyvirus,Siphoviridae,43119,Salmonella enterica,"Salmonella phage S138, complete genome"
MH370385,Salmonella phage S142,Jerseyvirus,Siphoviridae,43119,Salmonella enterica,"Salmonella phage S142, complete genome"
MH370386,Salmonella phage S147,Tequintavirus,Siphoviridae,111447,Salmonella enterica,"Salmonella phage S147, complete genome"
MH370387,Salmonella phage S149,Lederbergvirus,Podoviridae,41391,Salmonella enterica,"Salmonella phage S149, complete genome"
MH370477,Escherichia phage SRT7,Teseptimavirus,Podoviridae,39883,Escherichia coli,"Escherichia phage SRT7, complete genome"
MH370478,Pseudomonas phage SRT6,Pakpunavirus,Myoviridae,91364,Pseudomonas aeruginosa,"Pseudomonas phage SRT6, complete genome"
MH371107,Mycobacterium phage Doddsville,Pegunavirus,Siphoviridae,68243,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Doddsville, complete genome"
MH371108,Microbacterium phage Fork,,Siphoviridae,62090,Microbacterium foliorum,"Microbacterium phage Fork, complete genome"
MH371109,Microbacterium phage Lyell,,Siphoviridae,62716,Microbacterium foliorum,"Microbacterium phage Lyell, complete genome"
MH371110,Mycobacterium phage Magnar,Fromanvirus,Siphoviridae,51428,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Magnar, complete genome"
MH371111,Microbacterium phage Quaker,,Siphoviridae,17450,Microbacterium foliorum,"Microbacterium phage Quaker, complete genome"
MH371112,Mycobacterium phage Adnama,Kostyavirus,Siphoviridae,75208,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Adnama, complete genome"
MH371113,Mycobacterium phage Beezoo,Timquatrovirus,Siphoviridae,60494,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Beezoo, complete genome"
MH371114,Mycobacterium phage Childish,Pegunavirus,Siphoviridae,69044,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Childish, complete genome"
MH371115,Mycobacterium phage Clifton,Cheoctovirus,Siphoviridae,55727,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Clifton, complete genome"
MH371116,Mycobacterium phage DMoney,Liefievirus,Siphoviridae,41880,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage DMoney, complete genome"
MH371117,Mycobacterium phage Kahve,Pegunavirus,Siphoviridae,69031,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Kahve, complete genome"
MH371118,Microbacterium phage KayPaulus,,Siphoviridae,17455,Microbacterium foliorum,"Microbacterium phage KayPaulus, complete genome"
MH371119,Mycobacterium phage OctaviousRex,Liefievirus,Siphoviridae,41880,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage OctaviousRex, complete genome"
MH371120,Mycobacterium phage OlympiaSaint,Cheoctovirus,Siphoviridae,58297,Mycobacterium,"Mycobacterium phage OlympiaSaint, complete genome"
MH371121,Mycobacterium phage Phranny,Fromanvirus,Siphoviridae,48024,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Phranny, complete genome"
MH371122,Mycobacterium phage Priya,Fromanvirus,Siphoviridae,52949,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Priya, complete genome"
MH371123,Mycobacterium phage Sandalphon,Cheoctovirus,Siphoviridae,59540,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Sandalphon, complete genome"
MH371124,Microbacterium phage VitulaEligans,,Siphoviridae,17534,Microbacterium foliorum,"Microbacterium phage VitulaEligans, complete genome"
MH371125,Mycobacterium phage Morty,Pegunavirus,Siphoviridae,68878,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Morty, complete genome"
MH378441,Escherichia virus phiX174,Sinsheimervirus,Microviridae,5386,,"Escherichia virus phiX174 strain evolved J3 line, complete genome"
MH378442,Escherichia virus phiX174,Sinsheimervirus,Microviridae,5386,,"Escherichia virus phiX174 strain evolved J2 line, complete genome"
MH378443,Escherichia virus phiX174,Sinsheimervirus,Microviridae,5386,,"Escherichia virus phiX174 strain evolved J1, complete genome"
MH382198,Salmonella phage 3A_8767,Teseptimavirus,Podoviridae,38821,Salmonella enterica,"Salmonella phage 3A_8767, complete genome"
MH382836,Pseudomonas phage phCDa,,Podoviridae,72821,Pseudomonas fluorescens,"Pseudomonas phage phCDa, complete genome"
MH383160,Escherichia phage UB,Asteriusvirus,Myoviridae,353081,Escherichia coli O157:H7,"Escherichia phage UB, complete genome"
MH399770,Mycobacterium phage Biglebops,Timquatrovirus,Siphoviridae,56454,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Biglebops, complete genome"
MH399771,Mycobacterium phage ByChance,Cheoctovirus,Siphoviridae,53123,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage ByChance, complete genome"
MH399773,Mycobacterium phage Craff,Pegunavirus,Siphoviridae,69263,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Craff, complete genome"
MH399774,Mycobacterium phage DoctorDiddles,Kostyavirus,Siphoviridae,75070,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage DoctorDiddles, complete genome"
MH399775,Mycobacterium phage Gareth,Pegunavirus,Siphoviridae,68866,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Gareth, complete genome"
MH399776,Mycobacterium phage Grum1,Fromanvirus,Siphoviridae,50883,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Grum1, complete genome"
MH399778,Mycobacterium phage Icee,Kostyavirus,Siphoviridae,74169,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Icee, complete genome"
MH399779,Microbacterium phage Jacko,,Siphoviridae,61421,Microbacterium paraoxydans,"Microbacterium phage Jacko, complete genome"
MH399780,Mycobacterium phage Mutante,Pegunavirus,Siphoviridae,68494,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Mutante, complete genome"
MH399781,Gordonia phage Nadeem,Betterkatzvirus,Siphoviridae,49897,Gordonia terrae,"Gordonia phage Nadeem, complete genome"
MH399782,Mycobacterium phage Niza,Fromanvirus,Siphoviridae,51672,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Niza, complete genome"
MH399783,Microbacterium phage Noelani,,Siphoviridae,17349,Microbacterium foliorum,"Microbacterium phage Noelani, complete genome"
MH399784,Mycobacterium phage NormanBulbieJr,Cheoctovirus,Siphoviridae,58102,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage NormanBulbieJr, complete genome"
MH399786,Mycobacterium phage PhrodoBaggins,Pegunavirus,Siphoviridae,68873,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage PhrodoBaggins, complete genome"
MH399787,Mycobacterium phage Rubeelu,Buttersvirus,Siphoviridae,41491,Mycobacterium,"Mycobacterium phage Rubeelu, complete genome"
MH399788,Mycobacterium phage Visconti,,Siphoviridae,64570,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Visconti, complete genome"
MH399789,Arthrobacter phage Tatanka,Gordonvirus,Siphoviridae,58120,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Tatanka, complete genome"
MH491969,Escherichia phage LL12,Vequintavirus,Myoviridae,136026,Escherichia,"Escherichia phage LL12, complete genome"
MH494197,Escherichia phage CMSTMSU,Asteriusvirus,Myoviridae,386442,Escherichia coli,"Escherichia phage CMSTMSU, complete genome"
MF468274,Shigella phage Sfin-1,Tunavirus,Siphoviridae,50403,Shigella,"Shigella phage Sfin-1, complete genome"
MG641179,Lynx canadensis associated microvirus CLP 9413,,Microviridae,5312,,"Lynx canadensis associated microvirus CLP 9413, complete genome"
MG641180,Lynx canadensis associated microvirus CLP 9366,,Microviridae,5265,,"Lynx canadensis associated microvirus CLP 9366, complete genome"
MG641181,Alces alces faeces associated microvirus MP3 6497,,Microviridae,6434,,"Alces alces faeces associated microvirus MP3 6497, complete genome"
MG641182,Alces alces faeces associated microvirus MP10 5560,,Microviridae,5497,,"Alces alces faeces associated microvirus MP10 5560, complete genome"
MG641183,Alces alces faeces associated microvirus MP11 5517,,Microviridae,5398,,"Alces alces faeces associated microvirus MP11 5517, complete genome"
MG641184,Alces alces faeces associated microvirus MP12 5423,,Microviridae,5360,,"Alces alces faeces associated microvirus MP12 5423, complete genome"
MG641185,Alces alces faeces associated microvirus MP15 5067,,Microviridae,5004,,"Alces alces faeces associated microvirus MP15 5067, complete genome"
MG641186,Alces alces faeces associated microvirus MP18 4940,,Microviridae,4892,,"Alces alces faeces associated microvirus MP18 4940, complete genome"
MG641187,Alces alces faeces associated microvirus MP21 4718,,Microviridae,4662,,"Alces alces faeces associated microvirus MP21 4718, complete genome"
MG641188,Lepus americanus faeces associated microvirus SHP1 6472,,Microviridae,6357,,"Lepus americanus faeces associated microvirus SHP1 6472, complete genome"
MF443119,Lactococcus phage 62402,Ceduovirus,Siphoviridae,21980,Lactococcus lactis,"Lactococcus phage 62402, complete genome"
MF443120,Lactococcus phage 62403,Ceduovirus,Siphoviridae,21704,Lactococcus lactis,"Lactococcus phage 62403, complete genome"
MF443121,Lactococcus phage 37203,Ceduovirus,Siphoviridae,22029,Lactococcus lactis,"Lactococcus phage 37203, complete genome"
MF443122,Lactococcus phage 74001,Ceduovirus,Siphoviridae,21879,Lactococcus lactis,"Lactococcus phage 74001, complete genome"
MF443123,Lactococcus phage 62606,Ceduovirus,Siphoviridae,22185,Lactococcus lactis,"Lactococcus phage 62606, complete genome"
MF443124,Lactococcus phage 50504,Ceduovirus,Siphoviridae,21562,Lactococcus lactis,"Lactococcus phage 50504, complete genome"
MF443125,Lactococcus phage 50102,Ceduovirus,Siphoviridae,22242,Lactococcus lactis,"Lactococcus phage 50102, complete genome"
MF443126,Lactococcus phage 05802,Ceduovirus,Siphoviridae,22434,Lactococcus lactis,"Lactococcus phage 05802, complete genome"
KY888143,Lactococcus phage PLgW-1,Skunavirus,Siphoviridae,30189,Lactococcus garvieae,"Lactococcus phage PLgW-1, complete genome"
KY926698,Lactococcus phage PLgY-16,Skunavirus,Siphoviridae,29342,Lactococcus garvieae,"Lactococcus phage PLgY-16, complete genome"
KY926699,Lactococcus phage PLgY-30,Skunavirus,Siphoviridae,29284,Lactococcus garvieae,"Lactococcus phage PLgY-30, complete genome"
MH015249,Ruegeria phage vB_RpoS-V7,,Siphoviridae,59573,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoS-V7, complete genome"
MH015250,Ruegeria phage vB_RpoP-V12,Baltimorevirus,Podoviridae,74675,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoP-V12, complete genome"
MH015251,Ruegeria phage vB_RpoMi-V15,,Microviridae,4248,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoMi-V15, complete genome"
MH015252,Ruegeria phage vB_RpoS-V18,,Siphoviridae,59111,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoS-V18, complete genome"
MH015253,Ruegeria phage vB_RpoP-V21,Baltimorevirus,Podoviridae,74665,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoP-V21, complete genome"
MH015254,Ruegeria phage vB_RpoS-V11,,Siphoviridae,59549,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoS-V11, complete genome"
MH015255,Ruegeria phage vB_RpoS-V10,,Siphoviridae,147480,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoS-V10, complete genome"
MH015256,Ruegeria phage vB_RpoP-V13,Baltimorevirus,Podoviridae,74830,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoP-V13, complete genome"
MH015258,Ruegeria phage vB_RpoS-V16,,Siphoviridae,61382,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoS-V16, complete genome"
MH015259,Ruegeria phage vB_RpoP-V17,Baltimorevirus,Podoviridae,74665,Ruegeria pomeroyi DSS-3,"Ruegeria phage vB_RpoP-V17, complete genome"
MH031343,Escherichia phage vB_EcoP_S523,Teseptimavirus,Podoviridae,39825,Escherichia coli MC1061,"Escherichia phage vB_EcoP_S523, complete genome"
MH206183,Xanthomonas phage phiXv2,,Inoviridae,6564,Xanthomonas campestris,"Xanthomonas phage phiXv2, complete genome"
MH206184,Xanthomonas phage phiLF,,Inoviridae,6062,Xanthomonas campestris pv. campestris,"Xanthomonas phage phiLf UK variant, complete genome"
MH218848,Xanthomonas phage phiLf2,,Inoviridae,6372,Xanthomonas,"Xanthomonas phage phiLf2, complete genome"
MH229862,Streptomyces phage Henoccus,,Siphoviridae,55137,Streptomyces griseus,"Streptomyces phage Henoccus, complete genome"
MH229863,Streptomyces phage JackieB,,Siphoviridae,54912,Streptomyces griseus,"Streptomyces phage JackieB, complete genome"
MH229864,Streptomyces phage UNTPL,,Siphoviridae,54495,Streptomyces griseus,"Streptomyces phage UNTPL, complete genome"
MH229865,Streptomyces phage LazerLemon,,Siphoviridae,54798,Streptomyces griseus,"Streptomyces phage LazerLemon, complete genome"
MH238466,Pasteurella phage AFS-2018a,Bcepmuvirus,Myoviridae,33296,Pasteurella multocida,"Pasteurella phage AFS-2018a, complete genome"
MH238467,Pasteurella phage Pm86,,Siphoviridae,56048,Pasteurella multocida,"Pasteurella phage Pm86, complete genome"
MH248138,Erwinia phage vB_EamM_Alexandra,,Myoviridae,266532,Erwinia amylovora,"Erwinia phage vB_EamM_Alexandra, complete genome"
MH248947,Streptomyces phage Yosif,Camvirus,Siphoviridae,50129,Streptomyces toxytricini,"Streptomyces phage Yosif, complete genome"
MH252123,Klebsiella phage ZCKP1,,Myoviridae,150925,Klebsiella pneumoniae,"Klebsiella phage ZCKP1, complete genome"
MH268168,Pseudomonas phage PFP1,Teseptimavirus,Podoviridae,40914,Pseudomonas fluorescens,"Pseudomonas phage PFP1, complete genome"
MH271291,Rhodococcus phage Alpacados,Rerduovirus,Siphoviridae,46493,Rhodococcus erythropolis,"Rhodococcus phage Alpacados, complete genome"
MH271292,Microbacterium phage AnnaSerena,,Siphoviridae,56707,Microbacterium foliorum,"Microbacterium phage AnnaSerena, complete genome"
MH271293,Rhodococcus phage Bradshaw,Rerduovirus,Siphoviridae,46606,Rhodococcus erythropolis,"Rhodococcus phage Bradshaw, complete genome"
MH271294,Rhodococcus phage Bryce,Rerduovirus,Siphoviridae,46347,Rhodococcus erythropolis,"Rhodococcus phage Bryce, complete genome"
MH271295,Gordonia phage Ebert,Attisvirus,Siphoviridae,46653,Gordonia terrae,"Gordonia phage Ebert, complete genome"
MH271296,Gordonia phage Emperor,,Siphoviridae,16604,Gordonia terrae,"Gordonia phage Emperor, complete genome"
MH271297,Rhodococcus phage Erik,Rerduovirus,Siphoviridae,46429,Rhodococcus erythropolis,"Rhodococcus phage Erik, complete genome"
MH271298,Microbacterium phage Floof,,Siphoviridae,48500,Microbacterium foliorum,"Microbacterium phage Floof, complete genome"
MH271299,Rhodococcus phage Gollum,Rerduovirus,Siphoviridae,46535,Rhodococcus erythropolis,"Rhodococcus phage Gollum, complete genome"
MH271300,Microbacterium phage Hortus1,,Siphoviridae,63119,Microbacterium paraoxydans,"Microbacterium phage Hortus1, complete genome"
MH271301,Microbacterium phage Krampus,,Siphoviridae,56708,Microbacterium foliorum,"Microbacterium phage Krampus, complete genome"
MH271302,Gordonia phage Margaret,Emalynvirus,Siphoviridae,46950,Gordonia terrae,"Gordonia phage Margaret, complete genome"
MH271303,Microbacterium phage MementoMori,,Siphoviridae,55572,Microbacterium paraoxydans,"Microbacterium phage MementoMori, complete genome"
